hsa-mir-10b,hsa-mir-21,hsa-mir-125b-1,hsa-mir-125b-2,hsa-mir-145,hsa-mir-155,label
423804,179434,4426,4579,24293,684,normal
295590,55323,2554,2687,13219,203,normal
624990,201601,3496,3619,11740,376,normal
1192247,235173,5737,6228,13678,636,normal
391130,35298,5097,5194,40246,213,normal
716322,289220,2105,2286,8858,247,normal
402690,52216,2829,2829,12745,132,normal
899224,223062,5259,5587,20577,374,normal
469079,68510,1884,1909,14856,315,normal
959322,226925,3129,3450,30904,1657,normal
753256,104473,2214,2434,6391,185,normal
2829185,616019,24391,25648,101813,1862,normal
580244,60067,934,1043,2854,159,normal
407542,87050,1504,1632,9489,293,normal
725214,154156,3726,3954,26843,318,normal
641947,348863,2360,2579,7668,335,normal
643338,211322,1624,1810,5816,203,normal
778122,30809,1430,1491,16516,127,normal
1980127,555243,14202,15012,56989,2405,normal
935537,187073,3316,3438,11311,399,normal
765003,99337,10637,10893,34766,573,normal
686227,111229,2542,2640,11879,324,normal
285140,73488,7799,8270,20944,264,normal
1441919,135601,9573,9723,30533,540,normal
613634,49439,1587,1617,12013,134,normal
588313,58430,3887,3969,14814,214,normal
1217673,142824,4839,5163,19057,548,normal
1580856,114324,5465,5844,81677,574,normal
592034,74379,2051,2154,6679,223,normal
452725,108187,1433,1530,16161,294,normal
1042924,721838,2530,2839,9107,667,normal
967334,169204,4134,4193,10603,966,normal
581374,109942,2344,2262,5023,311,normal
486974,202267,2154,2333,19342,442,normal
2786901,852618,16371,16906,120343,4810,normal
2482523,420693,9840,10216,32513,2075,normal
968919,257146,5053,5296,19829,546,normal
430905,231715,1110,1301,3699,164,normal
1017855,174694,1268,1418,6141,289,normal
481226,56641,1444,1522,22388,245,normal
1093122,239208,4801,5144,13882,433,normal
261777,66725,2019,2121,10774,202,normal
547552,163940,2042,2202,10439,256,normal
572949,96080,3406,3495,11586,445,normal
67852,298157,513,559,1754,1152,normal
268425,54740,1414,1463,7085,141,normal
522214,42908,3080,3166,11624,140,normal
956147,108380,2037,2265,10678,393,normal
717436,273809,4455,4620,15829,371,normal
702883,298421,2848,2963,9068,578,normal
1339989,89391,5995,6297,61525,478,normal
980325,259254,7026,7334,19339,622,normal
504438,148850,1365,1490,9769,222,normal
786050,106437,12622,12866,44555,1018,normal
1203263,148599,3678,3871,27889,748,normal
570803,140262,5405,5540,14835,297,normal
731665,233133,3693,3984,19055,399,normal
964351,129256,2827,3075,10796,246,normal
929580,193021,3997,4332,14939,371,normal
953132,109948,4151,4440,29417,398,normal
669184,106264,3102,3206,24866,422,normal
1939577,196320,9947,10256,48264,736,normal
731437,71708,2807,2885,20335,394,normal
490921,52408,1449,1532,41274,166,normal
537645,52151,2481,2602,18316,275,normal
682565,265771,3661,3898,17825,558,normal
781710,139414,3775,3903,38056,597,normal
856783,29945,6780,6949,58345,304,normal
491342,277437,2470,2625,11912,826,normal
655427,32793,3214,3364,41707,238,normal
739203,241976,2493,2674,8597,406,normal
915249,203172,3986,4222,23712,403,normal
960677,338889,3659,3880,18674,1717,normal
1183386,153534,3396,3539,49853,508,normal
508056,78813,1176,1197,10004,141,normal
1643622,212763,6180,6369,71178,656,normal
290840,162590,439,545,3647,363,normal
185971,79361,5604,5751,2532,77,normal
1073638,518000,4934,5089,21513,1192,normal
1178215,237402,3277,3357,9545,358,normal
687215,57691,2089,2183,16929,117,normal
874604,392056,13264,13549,65560,885,normal
602780,117798,3763,4003,13320,405,normal
1610073,89549,3479,3729,22816,231,normal
461376,362256,2294,2620,7881,2086,normal
967126,100626,3173,3359,33504,256,normal
558764,190524,2104,2168,15475,580,normal
1051777,597543,11992,13158,33707,851,normal
751374,45832,1226,1322,9645,131,normal
657754,167632,1803,2029,9572,175,normal
1708199,301647,7384,7672,59044,1591,normal
1915120,122887,4619,4917,70233,845,normal
947790,242173,2833,2986,13687,796,normal
647400,266967,2782,2881,28272,746,normal
525525,35117,6605,6690,21010,231,normal
1825728,901646,21934,22836,48291,1425,normal
677841,153367,3270,3321,16603,246,normal
1035543,136544,2371,2429,13769,349,normal
1518216,91032,5358,5492,115361,629,normal
1222714,248499,3664,3936,36821,486,normal
113225,467274,852,911,7822,616,breast
268413,292500,486,433,2053,1827,breast
131944,3603126,1724,1808,3776,742,breast
219237,771427,497,606,1635,1747,breast
127604,740009,882,974,3115,647,breast
44526,212776,555,637,2138,333,breast
94635,680340,1182,1265,4070,1424,breast
66207,674116,485,525,1513,206,breast
258409,445550,940,955,6337,1308,breast
336556,521026,881,859,2736,528,breast
225435,304783,120,124,285,881,breast
489064,4378991,4812,5320,5940,2907,breast
686688,997793,3212,3328,10227,892,breast
133812,714046,185,229,2831,1036,breast
155419,514661,604,682,2377,749,breast
507414,1388377,2515,2669,5859,1473,breast
259770,4037708,2130,2105,4319,1690,breast
80182,751381,581,616,1432,424,breast
994679,922967,3434,3624,6465,1678,breast
237838,3074728,2575,2694,6304,747,breast
302485,794917,1846,1902,5228,3382,breast
267703,288418,1222,1318,2012,1123,breast
63849,464970,248,275,2012,1617,breast
298667,1837391,2098,2118,12119,718,breast
224260,547653,577,622,4515,728,breast
67027,315082,211,197,1095,392,breast
59162,254510,598,563,1110,306,breast
245279,527330,179,152,3534,359,breast
72880,2206595,1554,1687,6658,4537,breast
149315,503309,419,420,6226,632,breast
100277,324566,149,143,3072,373,breast
73424,523546,5326,5318,7730,3752,breast
485728,1628189,1476,1555,3868,1763,breast
385662,1602879,2103,2234,3387,1858,breast
109453,453743,286,273,2564,1090,breast
675685,1317503,3018,3147,9484,1351,breast
44138,544022,118,135,972,1424,breast
470845,1898104,3098,3566,4794,2007,breast
118655,485039,898,894,2918,521,breast
88081,505298,621,625,2447,1205,breast
344457,2706055,4734,5086,16739,2827,breast
338334,1042545,1133,1092,4575,577,breast
438952,942819,1566,1724,7594,463,breast
54148,684526,1936,2206,561,3120,breast
36663,248109,211,240,1367,652,breast
461700,1382648,2261,2484,4416,4346,breast
604112,3461027,6979,7545,9138,1294,breast
83173,349201,449,436,1686,423,breast
161544,932691,2792,2931,10283,1997,breast
165272,727770,2523,2689,3104,7572,breast
437090,393178,1232,1353,4726,1814,breast
701434,840205,948,1133,4175,701,breast
556163,1878312,1741,1848,3959,1802,breast
61245,828457,210,227,3048,2011,breast
148651,1016457,883,852,5324,1117,breast
65233,439465,349,394,1633,477,breast
183541,1116721,871,929,5288,2620,breast
234643,382208,1242,1291,12884,534,breast
321715,892999,330,393,1189,627,breast
18467,77750,94,99,1219,237,breast
85245,607327,2155,2301,5043,3125,breast
865483,2062078,3088,3040,6724,3263,breast
156195,621452,747,847,2075,841,breast
413413,2052146,1735,1861,28675,3597,breast
56336,898859,329,368,1866,789,breast
844297,2084030,4152,4300,12676,2399,breast
555164,2037173,1392,1497,12163,823,breast
46425,365462,79,85,3912,139,breast
117455,450818,817,833,4696,1720,breast
57287,263195,198,229,590,413,breast
78814,826436,153,170,5890,427,breast
822326,707226,1554,1573,5632,310,breast
1126107,1318380,1891,1946,9727,921,breast
254484,382973,1715,1871,2589,1719,breast
51863,237658,151,147,932,436,breast
135840,1580398,837,851,3685,1235,breast
239293,3194516,736,731,3492,253,breast
84710,647770,786,814,4872,360,breast
65832,513837,231,205,1972,196,breast
38066,576566,342,310,1362,895,breast
77306,410015,179,218,2488,628,breast
70089,523060,443,457,2203,331,breast
357412,1217525,1619,1807,6641,913,breast
92427,889381,457,502,968,451,breast
326289,450659,2864,2952,8579,549,breast
126344,572017,615,546,11623,2146,breast
674663,2021875,7354,7429,15943,3113,breast
208384,615449,1189,1305,3990,508,breast
170297,701504,856,1028,1814,960,breast
316633,1268051,1747,1841,4434,2786,breast
204934,504223,1249,1184,4982,303,breast
436667,682188,854,939,3319,3796,breast
109834,1059202,1716,2076,3056,1203,breast
205819,1183591,635,728,3387,1453,breast
398548,1061673,2427,2531,6119,3206,breast
98037,483724,803,868,4870,3184,breast
109852,369844,1111,1102,3013,4979,breast
72925,643753,339,375,1473,434,breast
79201,265011,859,973,1770,2443,breast
918088,2465164,4581,4812,17872,3008,breast
